t,py,vy
5.5833,1.003351,-4.659529
5.5917,0.964181,-4.741279
5.6000,0.924329,-4.823029
5.6083,0.883797,-4.904779
5.6167,0.842583,-4.986529
5.6250,0.800688,-5.068279
5.6333,0.758112,-5.150029
5.6417,0.714854,-5.231779
5.6500,0.670915,-5.313529
5.6583,0.626295,-5.395279
5.6667,0.580994,-5.477029
5.6750,0.535012,-5.558779
5.6833,0.488348,-5.640529
5.6917,0.441003,-5.722279
5.7000,0.392977,-5.804029
5.7083,0.344269,-5.885779
5.7167,0.294880,-5.967529
5.7250,0.244810,-6.049279
5.7333,0.194059,-6.131029
5.7417,0.142626,-6.212779
5.7500,0.129409,6.233589
5.7583,0.181015,6.151839
5.7667,0.231940,6.070089
5.7750,0.282183,5.988339
5.7833,0.331745,5.906589
5.7917,0.380626,5.824839
5.8000,0.428826,5.743089
5.8083,0.476344,5.661339
5.8167,0.523181,5.579589
5.8250,0.569337,5.497839
5.8333,0.614812,5.416089
5.8417,0.659606,5.334339
5.8500,0.703718,5.252589
5.8583,0.747149,5.170839
5.8667,0.789898,5.089089
5.8750,0.831967,5.007339
5.8833,0.873354,4.925589
5.8917,0.914060,4.843839
5.9000,0.954085,4.762089
5.9083,0.993428,4.680339
5.9167,1.032090,4.598589
5.9250,1.070071,4.516839
5.9333,1.107371,4.435089
5.9417,1.143989,4.353339
5.9500,1.179927,4.271589
5.9583,1.215183,4.189839
5.9667,1.249757,4.108089
5.9750,1.283651,4.026339
5.9833,1.316863,3.944589
5.9917,1.349394,3.862839
6.0000,1.381244,3.781089
6.0083,1.412412,3.699339
6.0167,1.442899,3.617589
6.0250,1.472705,3.535839
6.0333,1.501830,3.454089
6.0417,1.530273,3.372339
6.0500,1.558036,3.290589
6.0583,1.585116,3.208839
6.0667,1.611516,3.127089
6.0750,1.637235,3.045339
6.0833,1.662272,2.963589
6.0917,1.686628,2.881839
6.1000,1.710302,2.800089
6.1083,1.733296,2.718339
6.1167,1.755608,2.636589
6.1250,1.777239,2.554839
6.1333,1.798189,2.473089
6.1417,1.818457,2.391339
6.1500,1.838044,2.309589
6.1583,1.856950,2.227839
6.1667,1.875175,2.146089
6.1750,1.892719,2.064339
6.1833,1.909581,1.982589
6.1917,1.925762,1.900839
