t,tick,state,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,forces,forcesNames,cnx,cny,cnz,hasContact,penetration,vSlip
49.808333,5977,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.816667,5978,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.825000,5979,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.833333,5980,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.841667,5981,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.850000,5982,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.858333,5983,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.866667,5984,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.875000,5985,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.883333,5986,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.891667,5987,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.900000,5988,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.908333,5989,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.916667,5990,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.925000,5991,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.933333,5992,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.941667,5993,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.950000,5994,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.958333,5995,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.966667,5996,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.975000,5997,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.983333,5998,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
49.991667,5999,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.000000,6000,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.008333,6001,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.016667,6002,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.025000,6003,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.033333,6004,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.041667,6005,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.050000,6006,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.058333,6007,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.066667,6008,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.075000,6009,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.083333,6010,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.091667,6011,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.100000,6012,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.108333,6013,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.116667,6014,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.125000,6015,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.133333,6016,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.141667,6017,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.150000,6018,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.158333,6019,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.166667,6020,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.175000,6021,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.183333,6022,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.191667,6023,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.200000,6024,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.208333,6025,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.216667,6026,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.225000,6027,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.233333,6028,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.241667,6029,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.250000,6030,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.258333,6031,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.266667,6032,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.275000,6033,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.283333,6034,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.291667,6035,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.300000,6036,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.308333,6037,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.316667,6038,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.325000,6039,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.333333,6040,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.341667,6041,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.350000,6042,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.358333,6043,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.366667,6044,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.375000,6045,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.383333,6046,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.391667,6047,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.400000,6048,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.408333,6049,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.416667,6050,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.425000,6051,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.433333,6052,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.441667,6053,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.450000,6054,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.458333,6055,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
50.466667,6056,REST,42.102891,0.109000,48.617591,-0.165792,-0.842340,0.254882,0.444985,0.000000,0.000000,0.000000,0.000000,0.540565,0.000000,0,"",0.000000,1.000000,0.000000,1,0.000000,0.000000
